,COUNTA of Activity ID,Platform,,,,,,,,
,Main Brand,amazon_prime,instagram,netflix,standalone,tiktok,youtube_shorts,Grand Total,,
,,,174,,42,,,216,,
1,Estée Lauder,,,,40,133,,173,netflix,GB
2,eBay,,35,,25,35,1,96,"instagram, standalone","US, GB, DE, IE, BR, PH, AE, FR"
3,Nike,,3,,10,59,,72,"tiktok, standalone","US, GB"
4,DIRECTV,,19,,10,43,,72,"instagram, standalone, tiktok, youtube_shorts","GB, DE, US, CA"
5,Skyscanner,,42,,4,22,,68,"instagram, tiktok, standalone","IT, GB, DE, US"
6,Under Armour,,27,,16,23,,66,"tiktok, instagram, standalone",US
7,Philips,,24,,12,25,,61,"instagram, tiktok, standalone","US, GB, BR"
8,Viator,,18,,19,18,3,58,"tiktok, instagram, standalone","GB, FR, DE"
9,Vodafone,,16,,15,17,,48,"tiktok, standalone, instagram","GB, US, DE"
10,T-Mobile,2,,2,34,,,38,"tiktok, youtube_shorts, instagram, standalone","US, GB"
11,Hinge,,7,,9,18,,34,"tiktok, standalone, instagram",GB
12,Mozilla Firefox,,15,,5,13,,33,"amazon_prime, standalone, netflix","GB, US"
13,Waymo,,17,,2,12,,31,"tiktok, instagram, standalone","US, GB, AU, DE"
14,Amazon,,,,6,24,,30,"instagram, tiktok, standalone","US, DE"
15,PetSmart,,12,,11,6,,29,"instagram, tiktok, standalone",US
16,MAC Cosmetics,,4,,3,22,,29,"standalone, tiktok",US
17,Tango,,,,6,20,,26,"standalone, tiktok, instagram","US, CA"
18,Strava,,10,,2,10,3,25,"tiktok, standalone, instagram","US, CA"
19,Spotify,,2,,7,14,,23,"standalone, tiktok",GB
20,Sainsbury’s,,11,,4,6,,21,"youtube_shorts, instagram, tiktok, standalone",US
21,Reebok,,6,,3,12,,21,"tiktok, standalone, instagram",US
22,Quest Nutrition,,2,,16,2,,20,"tiktok, instagram, standalone",GB
23,NINJA,,7,,7,6,,20,"tiktok, standalone, instagram","GB, US"
24,eBay.de,,8,,4,8,,20,"standalone, instagram, tiktok",US
25,Argos,,10,,3,7,,20,"standalone, tiktok, instagram",GB
26,Lynx,,4,,3,12,,19,"tiktok, standalone, instagram",DE
27,American Eagle,,7,,4,8,,19,"tiktok, instagram, standalone",GB
28,Shiseido,,10,,3,4,,17,"tiktok, standalone, instagram",GB
29,Vodafone Business,,5,,4,6,,15,"standalone, tiktok, instagram",US
30,Raid Essentials,,,,3,11,1,15,"standalone, tiktok, instagram",US
31,Neutrogena,,,,2,13,,15,"instagram, standalone, tiktok",GB
32,Habitat,,10,,3,2,,15,"youtube_shorts, standalone, tiktok","GB, US"
33,Zurich,,11,,3,,,14,"tiktok, standalone",US
34,Heinz,,4,,3,6,,13,"instagram, tiktok, standalone",GB
35,Chime,,,,2,11,,13,"instagram, standalone","AU, DE, GB, IT, ES"
36,Just Eat,,7,,1,4,,12,"tiktok, standalone, instagram",GB
37,Amazon Astro for Business,,5,,2,5,,12,"tiktok, standalone",US
38,VCA Animal Hospitals,,10,,1,,,11,"instagram, tiktok, standalone",GB
39,Suno,,5,,1,5,,11,"instagram, standalone, tiktok",US
40,HP,,,,1,5,5,11,"instagram, standalone",US
41,Fakespot,,6,,1,4,,11,"tiktok, instagram, standalone",US
42,Clinique Smart Clinical Repair Serum,,10,,1,,,11,"youtube_shorts, tiktok, standalone",US
43,Claude by Anthropic,,10,,1,,,11,"instagram, tiktok, standalone",US
44,Amazon Hub,,10,,1,,,11,"instagram, standalone",US
45,Philips One Blade,,,,2,8,,10,"instagram, standalone",US
46,Oatly,,6,,1,3,,10,"instagram, standalone","US, CA"
47,Microsoft Surface,,,,1,9,,10,"tiktok, standalone",GB
48,Kraken,,,,2,8,,10,"instagram, tiktok, standalone",US
49,Call of Duty: Warzone Mobile,,,,2,8,,10,"tiktok, standalone",US
50,Atida,,8,,2,,,10,"tiktok, standalone","IT, US"
51,Smirnoff ICE,,8,,1,,,9,"tiktok, standalone","GB, DE"
52,Sesame Workshop,,8,,1,,,9,"instagram, standalone","FR, ES"
53,Nurtec ODT,,5,,4,,,9,"instagram, standalone",GB
54,Make Up Forever,,,,1,8,,9,"instagram, standalone",US
55,Make Up For Ever,,,,3,6,,9,"instagram, standalone",US
56,Listerine,,,,2,7,,9,"tiktok, standalone",US
57,Coca Cola,,1,,6,2,,9,"standalone, tiktok",US
58,Clinique,,,,3,6,,9,"tiktok, standalone",US
59,Aveeno Baby,,8,,1,,,9,"standalone, instagram, tiktok","ES, IT, GB"
60,AlUla,,8,,1,,,9,"tiktok, standalone","GB, US"
61,Turo,,3,,3,2,,8,"instagram, standalone",US
62,Similac,,6,,2,,,8,"instagram, standalone","GB, DE, US"
63,Saudi Green Initiative,,7,,1,,,8,"standalone, instagram, tiktok",US
64,Samsung Galaxy,,3,,2,3,,8,"instagram, standalone",US
65,Lancôme,,,,3,5,,8,"instagram, standalone","US, DE, GB"
66,H&M,,,,6,2,,8,"tiktok, standalone, instagram",GB
67,Feria,,,,3,5,,8,"tiktok, standalone",US
68,eBay Re-Store,,3,,2,3,,8,"standalone, tiktok","DE, US"
69,Delta Air Lines,,,,1,7,,8,"tiktok, standalone",US
70,Vitabiotics,,6,,1,,,7,"tiktok, standalone, instagram",DE
71,Twinings Sparkling Tea,,,,1,6,,7,"tiktok, standalone",US
72,Twinings Sleep Tea,,3,,1,3,,7,"instagram, standalone",GB
73,Tu Clothing,,6,,1,,,7,"tiktok, standalone",GB
74,Robinsons,,,,1,6,,7,"tiktok, instagram, standalone",GB
75,Pokémon GO,,,,3,4,,7,"instagram, standalone",GB
76,Pepcid,,3,,1,3,,7,"tiktok, standalone",GB
77,OGX,,,,1,6,,7,"tiktok, standalone","DE, GB"
78,Nexcare,,3,,1,3,,7,"instagram, tiktok, standalone",US
79,Neutrogena Collagen Bank,,3,,1,3,,7,"tiktok, standalone",US
80,Mozilla,,2,,3,2,,7,"tiktok, instagram, standalone",US
81,Metro by T-Mobile,,,,7,,,7,"instagram, tiktok, standalone",US
82,HelloFresh,,3,,1,3,,7,"tiktok, standalone, instagram",DE
83,Heineken,,6,,1,,,7,standalone,US
84,Google Pixel,,3,,4,,,7,"instagram, tiktok, standalone",GB
85,Google Bard,,2,,2,3,,7,"instagram, standalone","US, GB"
86,Firehouse Subs,,5,,1,1,,7,"instagram, standalone",GB
87,E.L.F Cosmetics,,,,2,5,,7,"tiktok, standalone, instagram",GB
88,De Beers Jewellers,,6,,1,,,7,"instagram, tiktok, standalone",US
89,Cricket Wireless,,4,,1,2,,7,"tiktok, standalone",US
90,Wayfair,,,,6,,,6,"instagram, standalone","US, GB"
91,Tu,,3,,1,2,,6,"tiktok, instagram, standalone",US
92,The United States,,,,6,,,6,standalone,"DE, GB"
93,Taster,,,,2,4,,6,"tiktok, instagram, standalone",GB
94,Phillips,,4,,2,,,6,standalone,"GB, AU, SG, US"
95,Microsoft Copilot,,2,,3,1,,6,"standalone, tiktok","GB, US"
96,MeAmora,,2,,2,2,,6,"instagram, standalone",GB
97,McDonald's,1,,,5,,,6,"instagram, standalone, tiktok",US
98,Malaysia,,,,6,,,6,"tiktok, standalone, instagram",GB
